site,location,land cover type,day of year,time of day,value,reference,remarks
example,London,built-up surface,10,13:00,0.1,[Kotthaus et al (2014)](https://www.sciencedirect.com/science/article/pii/S0924271614001233#),a sample concrete slab
US-NC1,NC_Clearcut,shrubland,,,0.21,[Coakley et al (2003)](http://www.curry.eas.gatech.edu/Courses/6140/ency/Chapter9/Ency_Atmos/Reflectance_Albedo_Surface.pdf),Albedos calculated for cloud-free conditions using midlatitude profiles of temperature humidity and ozone for summer at a solar zenith angle 60degreese 
